Index, StateCode, StateName, CountyName, CityName, Latitude, Longitude, Zip_Code, Average_Temperature, Maximum_Monthly_Highs, Minimum_Monthly_Lows
245,AL,Alabama,Jefferson,Alton,33.579167,-86.6375,35015,63.21666666666667,90.8,33.8
246,AL,Alabama,Etowah,Altoona,34.042916,-86.350879,35952,60.98333333333334,90.3,30.1
247,AL,Alabama,Covington,Andalusia,31.297142,-86.490468,36420,63.9,91.7,32.2
248,AL,Alabama,Lauderdale,Anderson,34.951777,-87.272327,35610,58.03333333333333,87.7,26.4
249,AL,Alabama,Wilcox,Annemanie,32.052778,-87.570833,36721,64.7,91.0,35.4
250,AL,Alabama,Calhoun,Anniston,33.653896,-85.838152,36201,62.40833333333333,89.9,33.0
251,AL,Alabama,Marshall,Arab,34.328339,-86.489638,35016,61.35833333333334,90.0,31.8
252,AL,Alabama,Limestone,Ardmore,34.980447,-86.834612,35739,60.81666666666667,89.9,30.2
253,AL,Alabama,Dale,Ariton,31.582996,-85.707716,36311,66.53333333333332,91.5,38.1
254,AL,Alabama,Winston,Arley,34.063234,-87.182761,35540,60.75000000000001,90.6,29.3
255,AL,Alabama,Wilcox,Arlington,32.066784,-87.559691,36722,64.7,91.0,35.4
