County,State_Code,Violent_Crime_Total,Murder,Rape,Robbery,Assault,Burglary,Larceny-Theft,Vehicle_Theft
Niagara,NY,894,8,65,250,571,937,1,541
Oneida,NY,545,7,63,168,307,666,1,264
Onondaga,NY,1,665,22,110,521,2,001,12
Ontario,NY,86,5,8,16,57,691,360,1
Orange,NY,932,13,80,219,620,429,962,5
Orleans,NY,68,1,5,4,58,133,354,26
Oswego,NY,136,1,18,18,99,496,604,1
Otsego,NY,129,1,17,10,101,077,278,771
Putnam,NY,77,,10,8,59,012,197,778
Queens,NY,,,,,,,,
Rensselaer,NY,488,2,48,113,325,830,975,2
Richmond,NY,,,,,,,,
Rockland,NY,570,5,27,177,361,701,558,3
St. Lawrence,NY,143,,24,11,108,491,560,1
Saratoga,NY,248,4,32,28,184,600,471,2
Schenectady,NY,613,10,48,196,359,796,908,3
Schoharie,NY,45,,8,2,35,87,373,18
Schuyler,NY,4,,,,4,18,169,4
Seneca,NY,35,,6,1,28,53,429,20
Steuben,NY,188,5,37,15,131,905,362,1
Suffolk,NY,2,845,28,131,958,466,29,148
Sullivan,NY,273,2,31,31,209,607,515,1
Tioga,NY,29,,6,3,20,152,343,22
Tompkins,NY,64,1,13,7,43,352,188,1
Ulster,NY,468,6,36,94,332,440,575,2
Warren,NY,85,,13,4,68,014,124,868
Washington,NY,86,,14,5,67,143,526,18
Wayne,NY,197,4,46,15,132,977,429,1
Westchester,NY,2,600,28,105,1,297,2,516
Wyoming,NY,59,2,7,3,47,110,489,23
Yates,NY,30,,8,3,19,87,202,7
Alamance,NC,520,2,21,127,370,870,1,236
Alexander,NC,42,,6,6,30,309,425,44
Alleghany,NC,2,,,,2,7,16,3
Anson,NC,90,3,7,21,59,066,422,586
Ashe,NC,32,5,5,2,20,265,193,24
Avery,NC,11,1,2,1,7,53,140,14
Beaufort,NC,181,2,17,58,104,432,411,957
Bertie,NC,33,1,3,6,23,246,289,35
Bladen,NC,338,2,4,37,295,239,412,768
Brunswick,NC,174,3,29,32,110,283,1,299
Buncombe,NC,578,7,43,273,255,780,1,708
Burke,NC,163,,16,43,104,219,742,1
Cabarrus,NC,311,7,23,130,151,588,1,114
Caldwell,NC,149,4,12,14,119,158,659,1
Camden,NC,14,,,,14,46,35,
Carteret,NC,161,3,23,24,111,897,516,1
Caswell,NC,57,,5,1,51,154,208,31
Catawba,NC,495,8,51,147,289,398,1,821
Chatham,NC,118,6,12,23,77,372,443,835
Cherokee,NC,108,2,8,5,93,217,412,35
Chowan,NC,40,2,3,12,23,164,221,10
Clay,NC,6,1,,,5,71,40,9
Cleveland,NC,287,7,14,73,193,623,749,1
Columbus,NC,373,6,11,61,295,077,1,078
Craven,NC,302,6,21,59,216,625,987,2
Cumberland,NC,1,965,31,83,560,1,649,17
Currituck,NC,46,,6,2,38,209,393,28
Dare,NC,88,1,17,7,63,574,468,1
Davidson,NC,444,5,22,97,320,336,777,3
Davie,NC,83,1,5,14,63,275,624,64
Duplin,NC,179,3,6,33,137,708,708,891
Durham,NC,1,680,33,95,848,964,14,071
Edgecombe,NC,271,5,15,77,174,736,838,1
Forsyth,NC,1,682,21,110,567,847,14,602
Franklin,NC,83,5,2,23,53,231,501,651
Gaston,NC,1,102,9,74,337,043,9,590
Gates,NC,17,,,1,16,60,85,2
Graham,NC,,,,,,,,
Granville,NC,212,2,14,40,156,708,634,975
Greene,NC,73,4,8,11,50,144,378,45
Guilford,NC,2,598,27,168,1,318,2,866
Halifax,NC,240,8,12,64,156,589,835,1
Harnett,NC,400,8,16,74,302,682,1,336
Haywood,NC,150,1,29,20,100,541,521,897
Henderson,NC,151,1,38,39,73,379,651,1
Hertford,NC,95,3,8,20,64,081,301,736
Hoke,NC,152,10,11,34,97,615,868,657
Hyde,NC,,,,,,1,49,1
Iredell,NC,455,7,32,92,324,490,1,324
Jackson,NC,112,,21,7,84,142,383,682
Johnston,NC,373,9,31,102,231,456,1,229
Jones,NC,17,,1,4,12,70,115,15
Lee,NC,206,3,13,75,115,387,749,1
Lenoir,NC,383,6,11,60,306,450,1,055
Lincoln,NC,20,,,8,12,122,687,43
McDowell,NC,83,2,5,25,51,059,375,604
Macon,NC,37,5,3,4,25,248,352,33
Madison,NC,11,1,2,,8,68,95,17
Martin,NC,122,,4,17,101,264,530,37
Mecklenburg,NC,7,492,64,330,2,251,7,675
Mitchell,NC,3,,1,1,1,9,31,5
Montgomery,NC,81,,12,11,58,271,535,43
Moore,NC,188,5,8,34,141,962,682,1
Nash,NC,466,6,19,152,289,493,1,376
New Hanover,NC,1,123,9,100,313,10,488,2
Northampton,NC,83,,5,16,62,260,304,31
Onslow,NC,114,,7,28,79,044,211,778
Orange,NC,398,4,22,140,232,049,1,289
Pamlico,NC,18,,1,3,14,74,132,6
Pasquotank,NC,165,2,11,45,107,502,426,1
Pender,NC,68,2,5,12,49,296,531,88
Perquimans,NC,18,3,1,9,5,133,126,27
Person,NC,154,,10,19,125,151,404,709
Pitt,NC,858,6,45,231,576,167,2,139
Polk,NC,41,1,4,8,28,137,186,35
Randolph,NC,169,2,12,40,115,672,1,092
Richmond,NC,166,2,11,46,107,248,714,1
Robeson,NC,929,24,40,307,558,805,3,119
Rockingham,NC,250,8,6,88,148,832,1,079
Rowan,NC,447,3,31,143,270,381,1,111
Rutherford,NC,223,2,21,42,158,329,757,1
Sampson,NC,165,7,22,36,100,652,746,797
Scotland,NC,140,4,9,38,89,786,809,907
Stanly,NC,162,,25,29,108,625,537,1
Stokes,NC,122,2,11,3,106,250,408,739
Surry,NC,267,3,8,34,222,422,748,1
Swain,NC,34,,5,1,28,53,218,20
Transylvania,NC,73,,7,4,62,205,373,32
Tyrrell,NC,5,2,1,,2,23,36,10
Union,NC,153,2,14,46,91,550,217,1
Vance,NC,219,4,8,96,111,022,1,157
Wake,NC,2,493,23,151,841,2,545,20
Warren,NC,38,,8,8,22,231,252,32
Washington,NC,52,2,2,4,44,69,196,3
Watauga,NC,55,1,7,6,41,223,328,836
Wayne,NC,564,12,11,126,415,001,1,584
Wilkes,NC,134,2,6,15,111,686,473,1
Wilson,NC,254,11,15,96,132,817,707,1
Yadkin,NC,70,4,10,10,46,253,573,40
Yancey,NC,10,,1,,9,75,60,7
Adams,ND,2,1,1,,,2,11,4
Barnes,ND,1,,,,1,26,74,16
Benson,ND,,,,,,,,
Billings,ND,,,,,,,,
Bottineau,ND,,,,,,12,59,10
Bowman,ND,,,,,,,,
Burke,ND,,,,,,10,13,2
Burleigh,ND,65,1,14,5,45,652,233,1
Cass,ND,105,1,38,8,58,834,530,2
Cavalier,ND,,,,,,3,11,3
Dickey,ND,2,1,,,1,5,39,5
Divide,ND,,,,,,,,
Dunn,ND,,,,,,,,
Eddy,ND,,,,,,13,20,2
Emmons,ND,1,,1,,,2,17,1
Foster,ND,,,,,,2,2,1
Golden Valley,ND,,,,,,,,
Grand Forks,ND,81,,27,4,50,237,309,1
Grant,ND,1,,,,1,1,7,
Griggs,ND,,,,,,,,1
Hettinger,ND,,,,,,2,7,
Kidder,ND,2,,,,2,8,10,2
LaMoure,ND,,,,,,1,1,1
Logan,ND,,,,,,3,3,
McHenry,ND,1,,,,1,14,17,5
McIntosh,ND,,,,,,,,
McKenzie,ND,3,,,,3,4,39,
McLean,ND,,,,,,25,64,3
Mercer,ND,6,,2,,4,15,54,6
Morton,ND,34,,15,3,16,56,350,28
Mountrail,ND,1,,1,,,3,28,3
Nelson,ND,,,,,,,,
Oliver,ND,,,,,,,1,
Pembina,ND,1,,,,1,7,19,12
Pierce,ND,,,,,,1,32,3
Ramsey,ND,25,1,1,1,22,62,254,28
Ransom,ND,6,,5,,1,20,32,5
Renville,ND,,,,,,6,8,2
Richland,ND,11,,2,3,6,71,303,22
Rolette,ND,2,,,,2,5,40,1
Sargent,ND,1,,1,,,1,34,1
Sheridan,ND,,,,,,10,16,1
Sioux,ND,,,,,,,,
Slope,ND,,,,,,,,
Stark,ND,19,,3,8,8,70,388,28
Steele,ND,,,,,,,,
Stutsman,ND,28,,14,4,10,46,272,25
Towner,ND,2,1,1,,,12,8,1
Traill,ND,9,,,,9,12,21,7
Walsh,ND,8,1,,,7,55,206,30
Ward,ND,89,1,38,7,43,290,182,992
Wells,ND,,,,,,20,41,3
Williams,ND,19,,3,,16,38,225,34
Adams,OH,18,,3,4,11,74,132,19
Allen,OH,526,6,102,167,251,298,1,102
Ashland,OH,34,,14,10,10,173,675,25
Ashtabula,OH,22,1,5,3,13,127,481,52
Athens,OH,94,,23,11,60,055,182,850
Auglaize,OH,12,,3,2,7,54,158,12
Belmont,OH,34,2,6,9,17,178,583,47
Brown,OH,29,,9,11,9,227,480,44
Butler,OH,1,388,8,174,350,043,15,307
Carroll,OH,21,,12,2,7,93,150,23
Champaign,OH,27,1,4,4,18,201,580,42
Clark,OH,583,8,80,292,203,619,2,155
Clermont,OH,188,,75,45,68,542,836,3
Clinton,OH,90,,11,15,64,153,689,21
Columbiana,OH,51,,14,6,31,165,405,60
Coshocton,OH,,,,,,93,450,22
Crawford,OH,35,,6,4,25,163,628,12
Cuyahoga,OH,7,212,84,659,3,704,6,967
Darke,OH,67,,13,9,45,234,596,51
Defiance,OH,22,,4,8,10,165,557,26
Delaware,OH,141,,50,46,45,944,736,2
Erie,OH,188,2,22,44,120,054,610,2
Fairfield,OH,209,2,46,81,80,835,899,2
Fayette,OH,37,,6,11,20,252,334,859
Franklin,OH,6,883,101,725,3,302,6,711
Fulton,OH,39,,9,4,26,124,569,39
Gallia,OH,40,3,10,13,14,335,507,62
Geauga,OH,26,,5,5,16,113,595,25
Greene,OH,189,1,56,78,54,203,881,4
Guernsey,OH,46,,7,8,31,91,814,27
Hamilton,OH,4,599,82,481,2,184,3,589
Hancock,OH,96,1,22,17,56,920,399,1
Hardin,OH,4,,,1,3,49,130,27
Harrison,OH,12,,3,1,8,109,128,18
Henry,OH,11,,2,1,8,81,187,9
Highland,OH,51,,5,12,34,155,280,825
Hocking,OH,31,1,10,4,16,257,601,61
Holmes,OH,13,,2,1,10,52,85,23
Huron,OH,21,,,4,17,274,555,57
Jackson,OH,46,2,7,5,32,166,405,241
Jefferson,OH,190,4,14,52,120,548,274,1
Knox,OH,4,,2,,2,11,36,
Lake,OH,184,1,28,58,97,638,475,2
Lawrence,OH,16,,,,16,12,77,16
Licking,OH,219,3,52,72,92,661,1,011
Logan,OH,152,2,21,5,124,196,547,38
Lorain,OH,462,7,53,134,268,849,1,608
Lucas,OH,3,359,22,163,1,946,2,536
Madison,OH,21,,7,9,5,113,397,33
Mahoning,OH,822,24,76,314,408,6,601,2
Marion,OH,122,2,22,49,49,652,587,1
Medina,OH,48,1,20,14,13,159,526,38
Meigs,OH,23,,4,3,16,107,153,28
Mercer,OH,37,,11,3,23,114,565,28
Miami,OH,97,1,36,30,30,202,452,1
Monroe,OH,,,,,,,,
Montgomery,OH,2,033,39,212,1,2,685,21
Morgan,OH,8,,2,,6,22,60,22
Morrow,OH,13,2,3,1,7,213,254,23
Muskingum,OH,144,3,34,66,41,007,628,2
Noble,OH,,,,,,,,
Ottawa,OH,5,,1,2,2,49,238,11
Paulding,OH,21,,3,,18,71,149,
Perry,OH,16,,6,2,8,156,303,35
Pickaway,OH,68,1,13,16,38,966,647,1
Pike,OH,6,1,2,3,,92,463,16
Portage,OH,161,3,31,36,91,759,379,2
Preble,OH,32,,10,7,15,197,539,41
Putnam,OH,8,,2,,6,63,122,5
Richland,OH,221,4,42,117,58,765,1,413
Ross,OH,115,2,27,52,34,900,827,2
Sandusky,OH,52,,5,13,34,530,231,1
Scioto,OH,267,7,40,100,120,448,1,568
Seneca,OH,21,,9,6,6,111,648,30
Shelby,OH,,,,,,,,
Stark,OH,1,428,9,169,471,307,13,257
Summit,OH,1,650,22,276,718,030,21,384
Trumbull,OH,613,8,67,226,312,956,1,603
Tuscarawas,OH,53,,6,19,28,070,219,779
Union,OH,25,1,9,5,10,212,679,39
Van Wert,OH,28,,10,5,13,173,515,46
Vinton,OH,3,1,,1,1,176,205,46
Warren,OH,104,,22,23,59,280,441,1
Washington,OH,89,2,32,21,34,216,276,880
Wayne,OH,52,,16,10,26,285,505,36
Williams,OH,52,,23,8,21,149,569,21
Wood,OH,107,3,20,28,56,730,512,3
Wyandot,OH,,,,,,9,5,1
Adair,OK,100,1,3,2,94,134,271,45
Alfalfa,OK,20,,2,,18,21,44,4
Atoka,OK,33,,,,33,88,151,16
Beaver,OK,6,,2,,4,25,84,6
Beckham,OK,45,,5,2,38,80,328,26
Blaine,OK,48,,2,2,44,48,141,7
Bryan,OK,178,,25,11,142,389,439,834
Caddo,OK,142,3,5,2,132,253,541,84
Canadian,OK,431,4,39,83,305,379,792,3
Carter,OK,329,2,27,29,271,965,476,1
Cherokee,OK,133,2,13,7,111,113,258,766
Choctaw,OK,105,1,7,16,81,204,348,11
Cimarron,OK,2,,,,2,7,6,2
Cleveland,OK,785,7,103,171,504,402,2,183
Coal,OK,28,,3,,25,42,74,12
Comanche,OK,784,5,61,155,563,577,1,478
Cotton,OK,14,,,1,13,19,47,9
Craig,OK,47,,5,1,41,91,189,21
Creek,OK,150,,10,13,127,882,565,1
Custer,OK,71,,6,8,57,164,550,34
Delaware,OK,147,2,13,1,131,227,429,71
Dewey,OK,7,,1,,6,8,7,7
Ellis,OK,1,,,1,,8,4,3
Garfield,OK,232,1,38,18,175,759,633,2
Garvin,OK,79,1,13,5,60,222,514,42
Grady,OK,199,3,10,24,162,587,476,1
Grant,OK,2,,1,,1,15,36,4
Greer,OK,6,,1,1,4,22,54,5
Harmon,OK,4,,1,1,2,20,70,5
Harper,OK,5,,,,5,15,35,6
Haskell,OK,66,,6,,60,41,114,12
Hughes,OK,32,1,4,,27,138,169,37
Jackson,OK,77,3,15,14,45,141,346,757
Jefferson,OK,41,,,1,40,41,53,10
Johnston,OK,57,2,2,,53,45,86,13
Kay,OK,223,1,41,17,164,948,538,1
Kingfisher,OK,4,,2,,2,45,129,21
Kiowa,OK,12,,,3,9,66,87,15
Latimer,OK,33,,6,2,25,61,53,12
Le Flore,OK,135,,4,10,121,199,484,45
Lincoln,OK,86,1,10,4,71,135,297,42
Logan,OK,98,3,13,6,76,256,400,28
Love,OK,34,,4,,30,43,130,14
McClain,OK,58,,5,9,44,256,390,52
McCurtain,OK,137,3,15,8,111,228,316,827
McIntosh,OK,52,4,4,4,40,236,423,40
Major,OK,23,,2,,21,47,68,6
Marshall,OK,26,,5,2,19,91,157,23
Mayes,OK,126,5,8,6,107,259,576,52
Murray,OK,20,,2,1,17,121,235,12
Muskogee,OK,428,6,30,52,340,196,797,1
Noble,OK,6,,3,1,2,53,168,20
Nowata,OK,11,,,,11,65,113,12
Okfuskee,OK,30,1,3,,26,63,144,19
Oklahoma,OK,4,295,38,389,1,739,4,037
Okmulgee,OK,107,5,11,7,84,072,342,639
Osage,OK,166,3,9,21,133,121,350,654
Ottawa,OK,118,,17,3,98,061,296,716
Pawnee,OK,88,2,10,1,75,120,228,32
Payne,OK,197,,38,23,136,276,483,1
Pittsburg,OK,114,2,13,9,90,333,420,803
Pontotoc,OK,130,3,14,5,108,040,268,724
Pottawatomie,OK,285,2,31,34,218,502,740,1
Pushmataha,OK,47,,7,3,37,84,120,29
Roger Mills,OK,3,,,,3,12,13,3
Rogers,OK,92,2,10,10,70,402,368,909
Seminole,OK,81,5,6,5,65,248,495,53
Sequoyah,OK,270,,13,6,251,247,583,79
Stephens,OK,111,2,11,9,89,344,278,991
Texas,OK,59,1,12,9,37,121,385,28
Tillman,OK,20,2,,3,15,58,149,13
Tulsa,OK,5,183,55,346,1,690,4,803
Wagoner,OK,119,2,16,14,87,301,332,848
Washington,OK,123,,14,11,98,609,400,1
Washita,OK,9,,,,9,32,75,5
Woods,OK,22,,3,2,17,43,100,10
Woodward,OK,45,,6,,39,145,314,12
Baker,OR,21,,7,3,11,84,348,42
Benton,OR,145,1,28,29,87,113,522,2
Clackamas,OR,465,3,94,158,210,201,2,257
Clatsop,OR,62,,11,12,39,585,288,1
Columbia,OR,36,,3,8,25,131,589,47
Coos,OR,68,,5,17,46,679,419,1
Crook,OR,126,,3,4,119,179,499,35
Curry,OR,15,,3,1,11,100,328,34
Deschutes,OR,225,2,51,43,129,799,1,182
Douglas,OR,116,4,23,32,57,274,644,2
Gilliam,OR,1,,,,1,8,16,4
Grant,OR,6,,3,,3,34,96,3
Harney,OR,13,,2,2,9,36,79,12
Hood River,OR,16,1,,1,14,84,235,46
Jackson,OR,612,5,63,66,478,896,1,317
Jefferson,OR,72,1,9,4,58,121,364,77
Josephine,OR,129,6,20,42,61,012,560,2
Klamath,OR,213,3,24,45,141,878,489,1
Lake,OR,14,,4,2,8,54,138,15
Lane,OR,860,5,129,243,483,16,374,3
Lincoln,OR,226,1,21,18,186,277,501,1
Linn,OR,186,3,19,59,105,741,1,289
Malheur,OR,81,1,11,10,59,181,702,56
Marion,OR,1,002,6,90,204,15,574,2
Morrow,OR,16,,3,,13,21,45,4
Multnomah,OR,4,591,33,397,1,740,6,164
Polk,OR,190,,29,28,133,566,416,1
Sherman,OR,3,1,1,,1,6,24,3
Tillamook,OR,20,,3,3,14,137,745,62
Umatilla,OR,89,3,14,28,44,355,581,1
Union,OR,30,2,7,4,17,120,389,35
Wallowa,OR,5,,,,5,21,56,4
Wasco,OR,38,,7,2,29,031,239,737
Washington,OR,771,9,153,227,382,656,2,401
Wheeler,OR,,,,,,10,15,3
Yamhill,OR,138,,34,19,85,738,448,2
Adams,PA,139,1,22,19,97,152,233,834
Allegheny,PA,5,879,72,198,2,387,5,452
Armstrong,PA,85,3,11,18,53,220,518,48
Beaver,PA,429,2,18,96,313,400,561,2
Bedford,PA,47,,6,9,32,235,420,33
Berks,PA,1,528,19,72,477,376,10,078
Blair,PA,271,4,36,83,148,551,644,1
Bradford,PA,60,5,21,6,28,154,366,35
Bucks,PA,931,6,63,323,539,779,1,685
Butler,PA,322,3,41,45,233,999,457,2
Cambria,PA,362,5,15,70,272,225,566,1
Cameron,PA,8,,2,1,5,61,84,2
Carbon,PA,123,2,10,6,105,211,724,49
Centre,PA,158,3,33,27,95,745,366,2
Chester,PA,711,3,71,145,492,773,1,074
Clarion,PA,54,3,15,5,31,169,444,38
Clearfield,PA,146,1,22,15,108,345,264,1
Clinton,PA,38,2,6,7,23,107,565,54
Columbia,PA,80,1,20,6,53,019,145,835
Crawford,PA,90,,15,14,61,477,401,964
Cumberland,PA,287,1,45,69,172,681,625,2
Dauphin,PA,1,135,14,91,503,7,024,1
Delaware,PA,2,428,33,100,603,2,568,10
Elk,PA,66,,5,4,57,182,482,32
Erie,PA,712,1,106,260,345,417,1,452
Fayette,PA,310,5,36,108,161,195,761,2
Forest,PA,10,,1,1,8,100,60,1
Franklin,PA,383,2,37,42,302,526,498,1
Fulton,PA,33,,7,3,23,69,102,10
Greene,PA,37,1,15,9,12,135,344,40
Huntingdon,PA,83,4,17,13,49,143,310,20
Indiana,PA,176,1,38,15,122,382,251,1
Jefferson,PA,89,,9,6,74,132,422,35
Juniata,PA,17,,4,4,9,148,126,15
Lackawanna,PA,534,4,66,128,336,719,692,2
Lancaster,PA,830,7,97,317,409,10,780,1
Lawrence,PA,310,4,22,106,178,417,699,1
Lebanon,PA,346,3,60,78,205,426,465,1
Lehigh,PA,1,051,17,92,433,032,10,758
Luzerne,PA,771,9,61,229,472,179,1,079
Lycoming,PA,200,2,13,63,122,457,479,1
McKean,PA,82,,17,7,58,120,406,26
Mercer,PA,230,3,31,44,152,400,447,1
Mifflin,PA,115,,10,28,77,069,296,716
Monroe,PA,271,9,43,73,146,760,652,1
Montgomery,PA,1,518,9,124,500,467,15,382
Montour,PA,73,,3,2,68,163,211,11
Northampton,PA,506,3,60,142,301,366,816,4
Northumberland,PA,169,2,22,12,133,033,221,760
Perry,PA,86,,14,9,63,147,403,38
Philadelphia,PA,20,908,330,1,001,9,820,22
Pike,PA,49,3,14,10,22,319,352,50
Potter,PA,17,1,5,,11,89,90,10
Schuylkill,PA,309,7,21,30,251,646,323,1
Snyder,PA,58,1,14,3,40,129,432,38
Somerset,PA,90,3,18,7,62,284,456,61
Sullivan,PA,13,1,9,,3,71,59,9
Susquehanna,PA,38,1,10,5,22,118,306,30
Tioga,PA,14,,7,1,6,130,246,23
Union,PA,37,,18,2,17,119,232,7
Venango,PA,94,,16,12,66,034,219,758
Warren,PA,123,,13,4,106,134,380,19
Washington,PA,440,3,48,99,290,723,610,2
Wayne,PA,43,1,12,6,24,175,421,47
Westmoreland,PA,671,5,53,146,467,166,1,214
Wyoming,PA,45,2,12,3,28,100,247,22
York,PA,1,005,18,98,376,9,407,1
Bristol,RI,53,,6,3,44,155,730,46
Kent,RI,267,,42,43,182,006,560,3
Newport,RI,206,,31,35,140,334,569,1
Providence,RI,2,014,26,212,640,2,333,21
Washington,RI,120,,26,10,84,313,384,1
Abbeville,SC,186,1,6,11,168,211,540,49
Aiken,SC,497,5,60,94,338,074,1,208
Allendale,SC,73,,2,5,66,145,153,15
Anderson,SC,1,263,14,56,161,937,8,202
Bamberg,SC,168,3,6,10,149,157,274,26
Barnwell,SC,171,1,4,21,145,186,643,29
Beaufort,SC,1,018,4,47,153,5,742,1
Berkeley,SC,787,2,62,110,613,864,1,206
Calhoun,SC,69,2,5,6,56,70,191,38
Charleston,SC,3,404,19,162,735,2,646,16
Cherokee,SC,375,5,36,59,275,038,635,2
Chester,SC,442,5,10,42,385,619,389,1
Chesterfield,SC,223,3,13,13,194,287,345,852
Clarendon,SC,245,3,10,49,183,264,578,71
Colleton,SC,351,3,17,33,298,377,332,920
Darlington,SC,965,6,27,100,832,682,1,104
Dillon,SC,306,3,18,54,231,709,507,1
Dorchester,SC,547,4,43,103,397,383,719,2
Edgefield,SC,92,,6,9,77,117,344,38
Fairfield,SC,291,2,12,27,250,253,626,56
Florence,SC,1,287,11,54,304,235,8,488
Georgetown,SC,426,,17,56,353,294,487,1
Greenville,SC,3,076,31,175,544,3,004,17
Greenwood,SC,673,3,35,46,589,113,582,2
Hampton,SC,130,,7,12,111,169,332,51
Horry,SC,1,911,13,144,419,1,981,16
Jasper,SC,163,1,18,23,121,258,315,914
Kershaw,SC,319,4,17,28,270,618,385,1
Lancaster,SC,409,3,29,49,328,576,774,1
Laurens,SC,608,5,24,60,519,738,680,1
Lee,SC,173,3,6,23,141,265,599,81
Lexington,SC,1,116,9,67,247,158,8,206
McCormick,SC,45,,1,5,39,52,81,9
Marion,SC,309,7,18,51,233,110,559,1
Marlboro,SC,425,4,12,37,372,422,429,905
Newberry,SC,200,2,12,18,168,120,133,961
Oconee,SC,364,4,33,29,298,211,613,1
Orangeburg,SC,741,20,36,111,574,5,129,1
Pickens,SC,371,1,43,29,298,487,739,2
Richland,SC,3,515,40,185,819,2,791,20
Saluda,SC,173,1,1,5,166,50,194,6
Spartanburg,SC,1,868,17,104,324,2,385,12
Sumter,SC,1,255,13,33,179,999,5,747
Union,SC,227,,11,21,195,199,603,75
Williamsburg,SC,232,4,18,31,179,210,421,658
York,SC,1,623,4,67,192,1,336,7
Aurora,SD,1,,1,,,4,5,3
Beadle,SD,,,,,,6,6,1
Bennett,SD,4,,,1,3,7,8,1
Bon Homme,SD,,,,,,,,1
Brookings,SD,14,,2,3,9,40,326,15
Brown,SD,43,,16,,27,95,406,26
Brule,SD,,,,,,2,8,2
Buffalo,SD,,,,,,,,
Butte,SD,11,,1,,10,12,70,4
Campbell,SD,1,,,,1,1,,
Charles Mix,SD,20,1,5,1,13,30,19,6
Clark,SD,1,,1,,,5,3,
Clay,SD,15,,4,1,10,33,206,10
Codington,SD,47,,13,1,33,164,620,45
Corson,SD,4,,,1,3,15,15,
Custer,SD,,,,,,8,22,4
Davison,SD,12,,2,,10,52,240,7
Day,SD,,,,,,10,14,
Deuel,SD,4,,2,,2,8,26,2
Dewey,SD,2,,,,2,2,4,3
Douglas,SD,,,,,,,,
Edmunds,SD,,,,,,,2,
Fall River,SD,6,,,,6,2,6,
Faulk,SD,1,,1,,,1,4,1
Grant,SD,,,,,,,,
Gregory,SD,,,,,,,,
Haakon,SD,,,,,,,,
Hamlin,SD,3,,2,,1,1,4,
Hand,SD,1,,,,1,8,20,1
Hanson,SD,2,,,,2,1,9,2
Harding,SD,,,,,,,,
Hughes,SD,76,6,14,,56,66,503,18
Hutchinson,SD,5,1,1,,3,4,7,6
Hyde,SD,2,,,2,,3,17,1
Jackson,SD,1,,,1,,9,4,
Jerauld,SD,2,,,,2,,4,
Jones,SD,,,,,,,,
Kingsbury,SD,1,,,,1,6,24,2
Lake,SD,6,,2,1,3,49,147,7
Lawrence,SD,35,,6,2,27,76,362,18
Lincoln,SD,42,,10,5,27,163,376,44
Lyman,SD,,,,,,,,
McCook,SD,6,,,,6,1,26,4
McPherson,SD,,,,,,,,
Marshall,SD,3,,,,3,11,36,4
Meade,SD,32,,12,1,19,88,276,32
Mellette,SD,6,,,,6,1,3,1
Miner,SD,,,,,,2,1,
Minnehaha,SD,422,3,106,41,272,433,1,030
Moody,SD,4,,,,4,1,3,2
Pennington,SD,314,3,107,48,156,261,682,2
Perkins,SD,1,,,,1,25,30,1
Potter,SD,1,,,,1,2,15,3
Roberts,SD,23,,3,,20,35,53,6
Sanborn,SD,1,1,,,,,17,3
Shannon,SD,,,,,,,,
Spink,SD,5,,2,,3,24,46,1
Stanley,SD,5,,1,,4,2,29,
Sully,SD,,,,,,,5,
Todd,SD,,,,,,3,2,
Tripp,SD,4,,,,4,13,41,6
Turner,SD,3,,2,1,,29,27,3
Union,SD,7,,,,7,9,36,8
Walworth,SD,1,,,,1,5,19,3
Yankton,SD,20,1,5,1,13,49,308,7
Ziebach,SD,2,,,,2,,2,1
Anderson,TN,293,2,18,61,212,230,766,2
Bedford,TN,161,4,8,22,127,256,533,76
Benton,TN,39,1,2,2,34,101,188,22
Bledsoe,TN,34,,,,34,47,104,10
Blount,TN,446,5,59,29,353,101,800,2
Bradley,TN,666,1,31,49,585,826,979,2
Campbell,TN,312,3,13,13,283,507,454,933
Cannon,TN,22,,,,22,64,63,15
Carroll,TN,72,2,4,6,60,193,357,52
Carter,TN,139,2,6,16,115,732,437,1
Cheatham,TN,95,2,2,8,83,185,543,100
Chester,TN,62,,4,10,48,110,306,21
Claiborne,TN,120,3,4,2,111,225,491,61
Clay,TN,13,1,,,12,32,43,3
Cocke,TN,148,5,3,12,128,263,455,626
Coffee,TN,178,1,5,22,150,995,459,1
Crockett,TN,43,,2,4,37,90,132,18
Cumberland,TN,138,,10,6,122,868,501,1
Davidson,TN,8,846,59,412,2,205,9,203
Decatur,TN,20,,,,20,140,138,22
DeKalb,TN,98,3,5,6,84,144,376,38
Dickson,TN,262,,61,15,186,392,329,973
Dyer,TN,218,1,16,28,173,702,328,1
Fayette,TN,149,,7,21,121,219,424,81
Fentress,TN,50,1,1,,48,156,233,28
Franklin,TN,154,2,4,6,142,110,363,655
Gibson,TN,280,1,17,18,244,439,374,968
Giles,TN,128,1,8,13,106,244,487,37
Grainger,TN,60,,5,4,51,135,371,42
Greene,TN,287,2,13,27,245,405,726,1
Grundy,TN,30,2,2,3,23,53,71,51
Hamblen,TN,286,3,14,48,221,540,375,1
Hamilton,TN,2,616,15,165,536,3,284,18
Hancock,TN,5,,,,5,63,69,3
Hardeman,TN,179,3,9,14,153,290,459,99
Hardin,TN,138,,6,4,128,250,509,67
Hawkins,TN,162,2,8,11,141,650,508,1
Haywood,TN,196,,13,13,170,261,471,63
Henderson,TN,143,3,11,19,110,243,544,74
Henry,TN,126,2,7,16,101,099,318,725
Hickman,TN,85,2,7,6,70,210,290,52
Houston,TN,26,1,1,2,22,48,113,23
Humphreys,TN,44,,3,1,40,103,230,24
Jackson,TN,16,,,,16,65,140,13
