County,State_Code,Violent_Crime_Total,Murder,Rape,Robbery,Assault,Burglary,Larceny-Theft,Vehicle_Theft
Las Animas,CO,20,,2,1,17,41,189,11
Lincoln,CO,2,,1,,1,,15,2
Logan,CO,38,1,6,4,27,92,315,31
Mesa,CO,344,3,50,26,265,757,927,3
Mineral,CO,1,,,,1,2,1,
Moffat,CO,30,1,1,1,27,60,294,16
Montezuma,CO,92,3,1,3,85,140,528,42
Montrose,CO,55,,14,3,38,113,584,45
Morgan,CO,19,,,3,16,89,521,23
Otero,CO,58,,7,6,45,77,526,10
Ouray,CO,,,,,,3,22,
Park,CO,30,1,,,29,52,16,15
Phillips,CO,4,1,2,,1,7,15,3
Pitkin,CO,28,,11,1,16,80,528,35
Prowers,CO,20,,5,5,10,105,368,21
Pueblo,CO,713,8,37,212,456,7,183,1
Rio Blanco,CO,17,,1,,16,16,89,4
Rio Grande,CO,35,,4,3,28,53,155,1
Routt,CO,25,,3,,22,40,229,18
Saguache,CO,30,1,2,1,26,26,33,4
San Juan,CO,3,,,,3,3,12,
San Miguel,CO,12,,,1,11,20,148,3
Sedgwick,CO,5,,,,5,15,26,2
Summit,CO,21,,2,2,17,016,79,917
Teller,CO,47,2,5,1,39,60,327,19
Washington,CO,5,,1,,4,16,47,8
Weld,CO,770,9,106,84,571,236,1,551
Yuma,CO,12,,2,,10,34,105,7
Fairfield,CT,2,535,25,137,983,3,076,20
Hartford,CT,2,996,26,201,1,276,3,049
Litchfield,CT,148,4,10,22,112,128,393,1
Middlesex,CT,85,2,3,39,41,346,265,1
New Haven,CT,2,323,15,166,994,2,966,24
New London,CT,541,11,106,146,278,788,633,2
Tolland,CT,47,,10,18,19,143,525,64
Windham,CT,98,1,14,36,47,043,173,791
Kent,DE,938,4,77,136,721,629,914,3
New Castle,DE,3,241,23,201,1,949,,17
Sussex,DE,926,1,79,139,707,017,1,434
Alachua,FL,1,896,8,157,310,2,095,9
Baker,FL,106,1,2,11,92,89,293,32
Bay,FL,1,095,11,97,163,7,642,1
Bradford,FL,146,,13,8,125,140,347,48
Brevard,FL,3,344,14,204,502,2,819,15
Broward,FL,10,513,63,506,3,424,9,792
Calhoun,FL,25,,,2,23,30,72,8
Charlotte,FL,632,5,41,82,504,657,1,267
Citrus,FL,390,2,28,22,338,496,607,1
Clay,FL,655,6,46,61,542,606,833,2
Collier,FL,1,317,14,94,218,378,6,834
Columbia,FL,418,2,29,55,332,240,569,1
DeSoto,FL,228,4,6,24,194,280,583,35
Dixie,FL,84,1,16,8,59,160,243,18
Duval,FL,6,810,105,232,2,181,8,507
Escambia,FL,2,057,19,134,370,1,825,11
Flagler,FL,198,,12,19,167,430,347,981
Franklin,FL,38,1,7,7,23,54,247,18
Gadsden,FL,361,6,23,38,294,351,390,880
Gilchrist,FL,30,,2,2,26,114,185,28
Glades,FL,45,1,1,2,41,76,134,20
Gulf,FL,57,,4,1,52,88,139,19
Hamilton,FL,96,,1,14,81,106,229,43
Hardee,FL,165,,10,19,136,244,578,63
Hendry,FL,295,2,12,63,218,244,336,802
Hernando,FL,899,4,81,70,744,563,1,320
Highlands,FL,426,4,22,72,328,837,928,1
Hillsborough,FL,10,343,58,449,2,340,11,263
Holmes,FL,53,,3,5,45,73,135,21
Indian River,FL,496,1,56,65,374,995,869,2
Jackson,FL,258,4,19,13,222,009,296,637
Jefferson,FL,99,,10,3,86,53,86,9
Lafayette,FL,40,1,9,2,28,34,56,6
Lake,FL,1,615,9,82,135,1,838,6
Lee,FL,2,908,31,175,757,2,600,18
Leon,FL,1,996,13,205,391,2,525,10
Levy,FL,278,1,35,15,227,198,353,764
Liberty,FL,17,,1,2,14,16,22,4
Madison,FL,155,,13,12,130,180,410,23
Manatee,FL,2,491,13,98,511,2,379,14
Marion,FL,2,018,17,167,208,2,021,8
Martin,FL,542,7,28,107,400,937,806,2
Miami-Dade,FL,24,424,218,901,7,531,27,784
Monroe,FL,460,1,44,91,324,142,791,2
Nassau,FL,784,2,34,25,723,433,435,876
Okaloosa,FL,587,3,39,102,443,230,1,197
Okeechobee,FL,282,1,20,12,249,128,482,555
Orange,FL,9,617,61,507,2,642,9,570
Osceola,FL,1,190,5,102,221,194,8,916
Palm Beach,FL,8,963,89,487,2,817,8,152
Pasco,FL,1,622,17,139,242,1,808,13
Pinellas,FL,7,472,37,415,1,344,7,451
Polk,FL,2,482,15,137,511,2,916,21
Putnam,FL,804,5,44,80,675,358,1,147
St. Johns,FL,632,2,11,68,551,038,999,2
St. Lucie,FL,1,329,8,94,244,449,7,800
Santa Rosa,FL,414,5,46,32,331,218,605,1
Sarasota,FL,1,447,5,87,254,1,482,13
Seminole,FL,1,486,18,114,282,1,875,10
Sumter,FL,304,3,33,22,246,129,297,745
Suwannee,FL,189,,15,17,157,082,405,596
Taylor,FL,139,1,12,13,113,292,340,27
Union,FL,72,,5,2,65,111,156,22
Volusia,FL,3,000,19,166,649,3,347,18
Wakulla,FL,102,,17,2,83,168,344,33
Walton,FL,224,3,8,5,208,291,326,869
Washington,FL,35,,2,6,27,65,236,33
Appling,GA,72,,3,3,66,56,156,16
Atkinson,GA,17,,,3,14,19,54,2
Bacon,GA,5,,,2,3,76,158,20
Baker,GA,2,,,,2,3,,
Baldwin,GA,87,1,7,17,62,100,268,790
Banks,GA,18,1,1,4,12,110,411,36
Barrow,GA,406,1,14,15,376,882,476,1
Bartow,GA,278,1,9,57,211,574,1,135
Ben Hill,GA,76,1,1,10,64,250,620,40
Berrien,GA,90,,4,13,73,74,204,17
Bibb,GA,770,18,68,269,415,063,2,352
Bleckley,GA,25,2,,4,19,55,263,14
Brantley,GA,32,1,,6,25,148,261,44
Brooks,GA,144,1,2,6,135,91,322,39
Bryan,GA,44,,2,19,23,92,509,34
Bulloch,GA,117,1,9,40,67,046,375,1
Burke,GA,463,,3,19,441,176,689,84
Butts,GA,21,,,6,15,82,401,61
Calhoun,GA,25,,,3,22,32,72,6
Camden,GA,120,3,11,12,94,282,263,953
Candler,GA,52,,,18,34,47,212,21
Carroll,GA,807,5,30,48,724,792,1,229
Catoosa,GA,117,5,5,18,89,793,280,1
Charlton,GA,17,,,2,15,13,40,4
Chatham,GA,1,576,26,81,741,948,13,375
Chattahoochee,GA,10,,,,10,32,43,12
Chattooga,GA,10,,,,10,7,32,2
Cherokee,GA,113,3,15,19,76,436,151,1
Clarke,GA,473,5,50,167,251,593,1,221
Clay,GA,17,,2,,15,1,5,1
Clayton,GA,1,478,21,65,714,239,13,650
Clinch,GA,11,,,,11,15,22,5
Cobb,GA,1,801,20,155,716,533,18,791
Coffee,GA,175,1,11,30,133,787,517,2
Colquitt,GA,241,10,15,60,156,311,574,1
Columbia,GA,64,1,15,17,31,683,211,1
Cook,GA,62,2,1,8,51,63,193,8
Coweta,GA,159,3,6,46,104,517,500,1
Crawford,GA,23,1,1,5,16,91,234,27
Crisp,GA,92,1,6,26,59,364,232,1
Dade,GA,8,,,,8,9,28,9
Dawson,GA,19,,1,2,16,100,337,65
Decatur,GA,118,1,8,24,85,328,258,1
DeKalb,GA,3,792,88,299,2,312,3,448
Dodge,GA,76,,,,76,85,168,27
Dooly,GA,24,,,3,21,52,97,8
Dougherty,GA,544,5,51,225,263,703,1,674
Douglas,GA,345,5,27,77,236,631,790,3
Early,GA,39,1,6,1,31,50,90,10
Echols,GA,,,,,,,,
Effingham,GA,79,,4,13,62,152,549,57
Elbert,GA,55,,3,11,41,180,412,24
Emanuel,GA,9,1,,2,6,111,112,33
Evans,GA,,,,,,,,
Fannin,GA,4,,,,4,8,26,
Fayette,GA,56,6,8,16,26,758,213,1
Floyd,GA,420,8,16,94,302,256,958,3
Forsyth,GA,254,1,11,22,220,733,535,1
Franklin,GA,44,,1,4,39,77,235,35
Fulton,GA,9,724,138,351,3,315,12,755
Gilmer,GA,6,,2,1,3,64,163,46
Glascock,GA,,,,,,,,
Glynn,GA,273,4,25,134,110,889,911,3
Gordon,GA,51,,8,7,36,216,237,902
Grady,GA,108,1,1,21,85,185,430,20
Greene,GA,44,,2,6,36,74,269,32
Gwinnett,GA,2,049,31,177,916,261,21,574
Habersham,GA,63,,8,3,52,275,535,82
Hall,GA,415,9,35,84,287,255,1,205
Hancock,GA,23,2,4,1,16,24,28,4
Haralson,GA,73,,3,5,65,231,315,745
Harris,GA,37,3,1,10,23,76,287,42
Hart,GA,53,,,8,45,167,253,43
Heard,GA,13,1,,1,11,65,103,37
Henry,GA,217,3,4,37,173,384,428,1
Houston,GA,371,4,39,93,235,171,1,145
Irwin,GA,24,,4,7,13,63,179,27
Jackson,GA,142,3,4,4,131,107,277,749
Jasper,GA,10,,,1,9,92,128,21
Jeff Davis,GA,36,2,,4,30,79,392,43
Jefferson,GA,72,,1,3,68,77,204,26
Jenkins,GA,53,2,,5,46,28,44,5
Johnson,GA,20,,,1,19,18,14,3
Jones,GA,30,1,,3,26,152,388,59
Lamar,GA,31,1,3,1,26,43,82,12
Lanier,GA,2,,1,,1,2,,1
Laurens,GA,144,1,12,35,96,721,353,1
Lee,GA,42,,4,8,30,134,501,39
Liberty,GA,247,3,19,56,169,678,555,2
Lincoln,GA,6,,,,6,25,46,1
Long,GA,16,,,5,11,80,74,19
Lowndes,GA,415,5,50,124,236,703,805,3
Lumpkin,GA,26,1,2,1,22,142,446,39
McDuffie,GA,31,,7,10,14,109,356,41
McIntosh,GA,33,,2,2,29,53,250,25
Macon,GA,50,,2,7,41,65,162,17
Madison,GA,61,,6,5,50,59,470,27
Marion,GA,9,,,2,7,11,11,3
Meriwether,GA,65,,1,11,53,145,436,84
Miller,GA,11,,3,2,6,18,84,2
Mitchell,GA,29,,2,8,19,78,293,16
Monroe,GA,1,,,1,,128,212,46
Montgomery,GA,1,,,,1,2,8,
Morgan,GA,26,,1,10,15,39,141,10
Murray,GA,59,,,4,55,207,446,49
Muscogee,GA,905,25,31,395,454,12,575,2
Newton,GA,116,3,8,22,83,998,530,1
Oconee,GA,16,,3,4,9,68,235,31
Oglethorpe,GA,5,,,,5,17,52,9
Paulding,GA,259,,15,13,231,234,483,1
Peach,GA,106,,2,18,86,156,476,47
Pickens,GA,8,,,2,6,100,272,33
Pierce,GA,15,,,3,12,45,305,9
Pike,GA,26,,,6,20,39,107,19
Polk,GA,145,4,14,23,104,360,359,915
Pulaski,GA,5,,,1,4,28,41,7
Putnam,GA,41,1,2,3,35,83,164,15
Quitman,GA,8,,,1,7,19,44,1
Rabun,GA,21,,,1,20,75,228,35
Randolph,GA,15,,1,1,13,35,34,2
Richmond,GA,838,14,155,467,202,407,2,624
Rockdale,GA,389,5,16,72,296,536,642,2
Schley,GA,7,,1,,6,9,25,6
Screven,GA,29,,1,6,22,60,119,2
Seminole,GA,25,,,7,18,36,102,11
Spalding,GA,327,2,25,63,237,580,584,1
Stephens,GA,31,,6,3,22,127,248,65
Stewart,GA,14,,,1,13,20,9,3
Sumter,GA,93,1,,16,76,177,408,730
Talbot,GA,3,,1,1,1,12,12,2
Taliaferro,GA,2,,,1,1,15,20,5
Tattnall,GA,78,3,2,5,68,114,379,33
Taylor,GA,2,,1,,1,7,3,2
Telfair,GA,51,1,,2,48,44,123,6
Terrell,GA,41,,3,15,23,60,147,8
Thomas,GA,123,,7,24,92,647,386,1
Tift,GA,506,3,13,60,430,604,461,1
Toombs,GA,77,2,3,24,48,158,481,31
Towns,GA,11,1,,,10,53,159,11
Treutlen,GA,7,,,4,3,56,78,13
Troup,GA,228,1,25,65,137,077,457,2
Turner,GA,8,,1,,7,16,56,9
Twiggs,GA,14,1,3,,10,3,11,4
Union,GA,4,,1,1,2,50,35,17
Upson,GA,139,3,4,16,116,179,687,50
Walker,GA,87,3,,14,70,470,497,1
Walton,GA,86,5,6,14,61,332,318,838
Ware,GA,123,2,7,41,73,686,342,1
Warren,GA,4,,1,1,2,11,27,1
Washington,GA,88,,3,23,62,114,492,42
Wayne,GA,32,,,2,30,13,40,1
Webster,GA,,,,,,6,4,1
Wheeler,GA,,,,,,8,5,4
White,GA,51,2,4,3,42,164,464,96
Whitfield,GA,375,6,25,54,290,471,808,3
Wilcox,GA,12,,,1,11,11,15,
Wilkes,GA,44,,4,6,34,77,102,16
Wilkinson,GA,22,,,2,20,53,92,16
Worth,GA,30,,,1,29,70,195,15
Hawaii,HI,290,3,86,53,148,929,1,162
Honolulu,HI,2,507,26,222,818,2,302,44
Kalawao,HI,,,,,,,,
Kauai,HI,208,2,37,22,147,493,526,1
Maui,HI,269,2,16,70,181,848,1,791
Ada,ID,1,091,4,196,93,9,478,1
Adams,ID,4,,,,4,8,34,1
Bannock,ID,226,1,22,16,187,891,402,2
Bear Lake,ID,4,,2,,2,2,22,1
Benewah,ID,20,,2,,18,17,45,4
Bingham,ID,40,,6,2,32,189,641,51
Blaine,ID,26,,2,,24,109,254,19
Boise,ID,12,,1,,11,34,91,4
Bonner,ID,58,1,8,1,48,185,678,64
Bonneville,ID,188,4,44,11,129,946,474,2
Boundary,ID,24,,2,,22,34,99,6
Butte,ID,4,,,,4,6,26,3
Camas,ID,2,,,,2,1,1,
Canyon,ID,533,12,126,50,345,521,1,136
Caribou,ID,8,,,,8,20,49,4
Cassia,ID,87,,6,2,79,189,506,35
Clark,ID,1,,,,1,2,23,2
Clearwater,ID,15,,3,,12,40,121,10
Custer,ID,5,,,,5,6,53,4
Elmore,ID,46,1,12,1,32,134,467,56
Franklin,ID,4,,1,,3,27,79,3
Fremont,ID,17,,5,,12,19,102,3
Gem,ID,18,,7,,11,27,139,16
Gooding,ID,18,,4,2,12,33,116,6
Idaho,ID,33,,2,,31,39,170,16
Jefferson,ID,22,2,2,1,17,12,166,7
Jerome,ID,45,1,7,6,31,116,329,39
Kootenai,ID,337,1,51,18,267,185,985,2
Latah,ID,31,1,3,2,25,158,592,24
Lemhi,ID,10,,1,,9,17,52,2
Lewis,ID,11,,3,,8,35,33,3
Lincoln,ID,6,,1,,5,11,2,
Madison,ID,9,,2,1,6,29,245,9
Minidoka,ID,37,,8,1,28,99,261,26
Nez Perce,ID,33,1,5,4,23,469,221,1
Oneida,ID,3,,,,3,20,18,8
Owyhee,ID,20,,1,,19,79,103,21
Payette,ID,46,,7,5,34,128,389,29
Power,ID,14,,3,,11,35,170,13
Shoshone,ID,55,1,9,1,44,92,176,17
Teton,ID,18,,5,1,12,27,87,5
Twin Falls,ID,228,1,28,23,176,990,742,2
Valley,ID,20,,4,,16,68,165,27
Washington,ID,19,,2,,17,52,123,9
