County, State_Code, Violent_Crime_Total, Murder, Rape, Robbery, Assault, Useless, Property_Crime_Total, Burglary, Larceny-Theft, Vehicle_Theft
Searcy, AR ,(NA),(NA),(NA),(NA),(NA),9,(NA),(NA),(NA),(NA),41
Sebastian, AR ,841,4,101,95,641,665,6,787,1,270,5,178,339,7,008
Sevier, AR ,25,3,2,2,18,46,189,52,129,8,335
Sharp, AR ,34,-,5,3,26,18,201,70,113,18,223
Stone, AR ,1,-,-,1,-,16,28,16,11,1,131
Union, AR ,210,3,7,36,164,375,1,803,657,1,036,110,1,585
Van Buren, AR ,15,1,4,-,10,31,200,49,130,21,114
Washington, AR ,574,9,112,46,407,491,5,731,933,4,482,316,4,928
White, AR ,207,3,24,20,160,197,2,502,637,1,672,193,2,017
Woodruff, AR ,6,-,-,-,6,-,19,9,7,3,43
Yell, AR ,79,-,11,2,66,72,245,145,88,12,263
Alameda, CA ,9,114,117,472,3,904,4,621,9,503,65,798,11,824,38,618,15,356,58,320
Alpine, CA ,11,-,3,-,8,10,82,25,57,-,77
Amador, CA ,121,2,19,7,93,179,1,148,362,657,129,674
Butte, CA ,752,6,92,129,525,699,8,265,2,452,4,393,1,420,6,514
Calaveras, CA ,127,3,11,10,103,118,1,002,338,533,131,914
Colusa, CA ,59,-,2,5,52,57,576,207,314,55,396
Contra Costa, CA ,4,021,76,205,1,466,2,274,4,532,41,495,7,053,24,925,9,517,31,095
Del Norte, CA ,181,1,24,10,146,118,924,345,507,72,818
El Dorado, CA ,467,2,45,59,361,702,4,106,1,149,2,441,516,2,858
Fresno, CA ,5,169,69,272,1,541,3,287,6,041,42,199,7,418,27,150,7,631,42,210
Glenn, CA ,71,-,3,6,62,80,1,042,290,619,133,699
Humboldt, CA ,428,5,52,106,265,427,5,145,1,310,3,205,630,5,084
Imperial, CA ,687,4,34,123,526,707,5,619,1,913,2,714,992,5,449
Inyo, CA ,52,-,4,6,42,55,428,106,280,42,406
Kern, CA ,4,421,51,217,931,3,222,3,237,31,782,8,227,18,651,4,904,22,296
Kings, CA ,462,6,44,75,337,364,3,870,756,2,519,595,2,812
Lake, CA ,301,1,18,24,258,234,1,940,580,1,139,221,1,520
Lassen, CA ,100,-,8,3,89,73,530,148,327,55,423
Los Angeles, CA ,76,652,1,038,2,483,26,565,46,566,89,986,297,521,59,425,165,971,72,125,289,465
Madera, CA ,723,7,35,158,523,804,3,946,1,139,2,031,776,3,792
Marin, CA ,495,3,44,132,316,642,6,129,1,275,4,025,829,5,232
Mariposa, CA ,82,1,7,-,74,130,408,118,268,22,367
Mendocino, CA ,472,6,28,32,406,318,1,924,688,1,091,145,1,912
Merced, CA ,1,612,16,83,232,1,281,1,307,10,459,2,358,6,507,1,594,7,686
Modoc, CA ,15,-,2,1,12,38,147,48,81,18,156
Mono, CA ,44,-,8,3,33,30,573,147,403,23,547
Monterey, CA ,2,097,33,129,721,1,214,2,311,14,143,2,622,9,472,2,049,10,649
Napa, CA ,451,3,50,58,340,322,3,722,596,2,690,436,2,342
Nevada, CA ,236,1,23,19,193,159,1,840,508,1,141,191,1,635
Orange, CA ,8,308,81,522,2,511,5,194,8,600,74,159,13,155,48,439,12,565,65,698
Placer, CA ,623,3,41,113,466,533,9,262,1,941,6,097,1,224,6,706
Plumas, CA ,56,2,7,4,43,63,459,155,280,24,548
Riverside, CA ,8,495,93,466,2,248,5,688,9,591,70,309,17,042,40,103,13,164,51,062
Sacramento, CA ,9,164,92,449,3,326,5,297,7,206,67,681,12,952,38,140,16,589,53,302
San Benito, CA ,237,-,25,32,180,337,1,281,317,808,156,1,114
San Bernardino, CA ,9,813,165,551,3,348,5,749,9,169,65,949,14,388,35,680,15,881,56,006
San Diego, CA ,13,886,127,797,3,588,9,374,13,746,97,390,17,547,55,671,24,172,80,662
San Francisco, CA ,5,782,88,154,3,058,2,482,6,562,36,910,6,199,22,606,8,105,36,600
San Joaquin, CA ,5,431,55,192,1,558,3,626,4,596,36,314,6,494,21,652,8,168,25,048
San Luis Obispo, CA ,777,2,97,81,597,697,6,875,1,582,4,810,483,6,459
San Mateo, CA ,2,168,26,156,685,1,301,1,991,19,302,2,935,13,424,2,943,16,609
Santa Barbara, CA ,1,804,7,128,321,1,348,1,312,9,981,2,350,6,553,1,078,8,883
Santa Clara, CA ,5,090,37,454,1,169,3,430,7,226,43,957,7,103,30,140,6,714,37,281
Santa Cruz, CA ,1,198,5,124,205,864,1,186,9,397,1,697,6,849,851,7,504
Shasta, CA ,909,4,114,92,699,825,5,793,1,539,3,572,682,4,516
Sierra, CA ,13,-,-,-,13,4,61,20,36,5,41
Siskiyou, CA ,139,1,9,6,123,140,1,012,277,659,76,971
Solano, CA ,2,005,19,120,520,1,346,2,504,12,815,2,704,8,068,2,043,13,443
Sonoma, CA ,2,242,17,214,272,1,739,1,356,13,303,2,552,9,169,1,582,12,156
Stanislaus, CA ,2,874,41,159,719,1,955,3,088,30,200,5,304,18,548,6,348,20,752
Sutter, CA ,354,3,36,56,259,263,3,342,815,2,121,406,2,702
Tehama, CA ,429,3,31,21,374,272,1,786,484,1,090,212,1,558
Trinity, CA ,57,1,4,4,48,23,205,103,49,53,270
Tulare, CA ,2,614,25,105,445,2,039,2,377,19,835,4,885,11,465,3,485,13,712
Tuolumne, CA ,186,2,7,13,164,202,2,191,759,1,199,233,1,166
Ventura, CA ,1,898,33,101,621,1,143,2,112,17,526,3,641,11,496,2,389,15,400
Yolo, CA ,1,053,5,85,167,796,953,6,565,1,790,3,765,1,010,5,028
Yuba, CA ,395,5,29,58,303,342,2,604,760,1,338,506,2,465
Adams, CO ,1,468,20,196,315,937,1,407,18,124,2,961,11,965,3,198,15,455
Alamosa, CO ,98,1,3,4,90,55,487,83,382,22,439
Arapahoe, CO ,2,196,21,257,635,1,283,1,716,22,307,3,893,14,994,3,420,16,765
Archuleta, CO ,21,-,9,1,11,3,300,98,188,14,314
Baca, CO ,8,-,-,-,8,5,10,-,10,-,14
Bent, CO ,15,-,2,-,13,24,58,14,42,2,112
Boulder, CO ,364,4,49,53,258,780,6,331,1,095,4,920,316,8,366
Broomfield, CO,40,1,7,12,20,(X),1,556,151,1,298,107,(X)
Chaffee, CO ,44,-,12,-,32,35,475,60,400,15,420
Cheyenne, CO ,-,-,-,-,-,3,17,2,14,1,27
Clear Creek, CO ,40,-,3,1,36,40,302,41,243,18,230
Conejos, CO ,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Costilla, CO ,7,-,-,-,7,24,1,-,1,-,62
Crowley, CO ,7,-,-,-,7,9,1,1,-,-,7
Custer, CO ,1,-,-,-,1,3,48,8,33,7,52
Delta, CO ,61,-,10,6,45,39,437,88,333,16,389
Denver, CO ,4,517,87,244,1,443,2,743,2,945,30,873,7,350,15,934,7,589,23,868
Dolores, CO ,1,-,-,-,1,2,22,7,14,1,32
Douglas, CO ,287,2,66,27,192,80,4,635,791,3,555,289,2,026
Eagle, CO ,70,-,6,9,55,67,1,274,98,1,149,27,1,581
Elbert, CO ,19,-,1,2,16,60,194,56,121,17,158
El Paso, CO ,2,480,17,341,376,1,746,1,994,23,939,4,592,16,956,2,391,19,445
Fremont, CO ,136,2,30,7,97,68,836,119,668,49,894
Garfield, CO ,130,-,9,8,113,77,1,375,263,1,014,98,1,139
Gilpin, CO ,8,-,-,1,7,36,46,11,32,3,283
